# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: PER-CELL NCX:RYR2 (within-sample cell dispersion for Fig 2B overlay; NOT donor-level error; RYR2>0 cells)
group,ncx_over_ryr2
fetal_SAN_pace,1.6923
fetal_SAN_pace,3.9167
fetal_SAN_pace,1.5476
fetal_SAN_pace,1.3962
fetal_SAN_pace,4.2105
fetal_SAN_pace,3.5333
fetal_SAN_pace,2.2
fetal_SAN_pace,4.75
fetal_SAN_pace,2.2623
fetal_SAN_pace,3.4483
fetal_SAN_pace,2.8095
fetal_SAN_pace,2.8077
fetal_SAN_pace,3.1552
fetal_SAN_pace,2.0189
fetal_SAN_pace,3.1852
fetal_SAN_pace,1.4054
fetal_SAN_pace,1.5571
fetal_SAN_pace,2.8947
fetal_SAN_pace,1.6415
fetal_SAN_pace,2.76
fetal_SAN_pace,4.7778
fetal_SAN_pace,1.1569
fetal_SAN_pace,1.1667
fetal_SAN_pace,1.8596
fetal_SAN_pace,2.84
fetal_SAN_pace,0.9367
fetal_SAN_pace,2.0204
fetal_SAN_pace,1.6957
fetal_SAN_pace,2.5377
fetal_SAN_pace,3.28
fetal_SAN_pace,3.6
fetal_SAN_pace,1.1515
fetal_SAN_pace,1.5616
fetal_SAN_pace,3.2222
fetal_SAN_pace,1.4043
fetal_SAN_pace,1.5965
fetal_SAN_pace,0.9672
fetal_SAN_pace,2.4756
fetal_SAN_pace,2.7647
fetal_SAN_pace,3.4583
fetal_SAN_pace,2.2857
fetal_SAN_pace,3.4545
fetal_SAN_pace,3.1
fetal_SAN_pace,3.641
fetal_SAN_pace,2.0
fetal_SAN_pace,2.1818
fetal_SAN_pace,2.8889
fetal_SAN_pace,1.8235
fetal_SAN_pace,1.5968
fetal_SAN_pace,1.6909
fetal_SAN_pace,2.9091
fetal_SAN_pace,1.8364
fetal_SAN_pace,1.8111
fetal_SAN_pace,2.9583
fetal_SAN_pace,2.3469
fetal_SAN_pace,3.1154
fetal_SAN_pace,2.7714
fetal_SAN_pace,1.2794
fetal_SAN_pace,4.9032
fetal_SAN_pace,1.2222
fetal_SAN_pace,2.913
fetal_SAN_pace,2.1186
fetal_SAN_pace,1.0294
fetal_SAN_pace,0.7333
fetal_SAN_pace,3.6071
fetal_SAN_pace,1.8868
fetal_SAN_pace,2.0794
fetal_SAN_pace,2.3333
fetal_SAN_pace,0.7959
fetal_SAN_pace,1.64
fetal_SAN_pace,3.0811
fetal_SAN_pace,2.125
fetal_SAN_pace,1.8966
fetal_SAN_pace,1.2
fetal_SAN_pace,3.2407
fetal_SAN_pace,3.7857
fetal_SAN_pace,2.6774
fetal_SAN_pace,1.3095
fetal_SAN_pace,2.1429
fetal_SAN_pace,2.0
fetal_SAN_pace,2.3478
fetal_SAN_pace,5.8571
fetal_SAN_pace,2.9583
fetal_SAN_pace,0.85
fetal_SAN_pace,1.1412
fetal_SAN_pace,2.8571
fetal_SAN_pace,3.8235
fetal_SAN_pace,2.4667
fetal_SAN_pace,3.7736
fetal_SAN_pace,8.7692
fetal_SAN_pace,6.7353
fetal_SAN_pace,4.5833
fetal_SAN_pace,4.2083
fetal_SAN_pace,2.0357
fetal_SAN_pace,2.1129
fetal_SAN_pace,5.3529
fetal_SAN_pace,5.32
fetal_SAN_pace,1.825
fetal_SAN_pace,1.4615
fetal_SAN_pace,1.8873
fetal_SAN_pace,2.6765
fetal_SAN_pace,1.7736
fetal_SAN_pace,2.4545
fetal_SAN_pace,3.0938
fetal_SAN_pace,1.3429
fetal_SAN_pace,1.0667
fetal_SAN_pace,2.3269
fetal_SAN_pace,4.375
fetal_SAN_pace,1.7447
fetal_SAN_pace,6.1481
fetal_SAN_pace,2.4444
fetal_SAN_pace,1.8936
fetal_SAN_pace,1.7105
fetal_SAN_pace,2.0169
fetal_SAN_pace,1.5952
fetal_SAN_pace,1.4054
fetal_SAN_pace,1.5833
fetal_SAN_pace,6.3182
fetal_SAN_pace,2.6383
fetal_SAN_pace,1.8333
fetal_SAN_pace,0.8824
fetal_SAN_pace,1.375
fetal_SAN_pace,2.3404
fetal_SAN_pace,2.36
fetal_SAN_pace,1.069
fetal_SAN_pace,3.0
fetal_SAN_pace,1.9667
fetal_SAN_pace,2.1912
fetal_SAN_pace,1.2222
fetal_SAN_pace,2.55
fetal_SAN_pace,7.625
fetal_SAN_pace,4.5625
fetal_SAN_pace,3.8333
fetal_SAN_pace,2.4091
fetal_SAN_pace,1.175
fetal_SAN_pace,1.7317
fetal_SAN_pace,1.4848
fetal_SAN_pace,2.0114
fetal_SAN_pace,5.8824
fetal_SAN_pace,2.9032
fetal_SAN_pace,1.9524
fetal_SAN_pace,1.6667
fetal_SAN_pace,2.04
fetal_SAN_pace,2.4194
fetal_SAN_pace,1.678
fetal_SAN_pace,2.3721
fetal_SAN_pace,2.6667
fetal_SAN_pace,1.9861
fetal_SAN_pace,0.6463
fetal_SAN_pace,1.7843
fetal_SAN_pace,3.7407
fetal_SAN_pace,1.3
fetal_SAN_pace,2.6875
fetal_SAN_pace,3.1379
fetal_SAN_pace,1.4766
fetal_SAN_pace,1.75
fetal_SAN_pace,1.1111
fetal_SAN_pace,2.0286
fetal_SAN_pace,1.7174
fetal_SAN_pace,1.5743
fetal_SAN_pace,2.5
