# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: node-resolved fetal-vs-adult channel + Ca-handling expression by SAN/AVN/vCM; linear TP10K, within-dataset
group,group_label,dataset,n_cells,gene,label,family,mean_tp10k,detect_frac
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,SHOX2,SHOX2,Identity,0.8498,0.3472
fetal_SAN_work,Fetal SAN working,lim2024_fetal_san,2192,ISL1,ISL1,Identity,0.0135,0.0109
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,CACNA1C,Cav1.2 (L),Ca channel,38.9397,0.9638
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,CACNA1D,Cav1.3 (L),Ca channel,5.203,0.5727
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,CACNA1G,Cav3.1 (T),Ca channel,0.4361,0.2112
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,CACNA1H,Cav3.2 (T),Ca channel,0.0,0.0
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,CACNA1I,Cav3.3 (T),Ca channel,0.0039,0.0025
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,SLC8A1,NCX1,Ca handling,75.9959,0.8948
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,ATP2A2,SERCA2a,Ca handling,5.6248,0.7001
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,RYR2,RyR2,Ca handling,31.0468,0.9433
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,PLN,PLN,Ca handling,3.0802,0.5933
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,CASQ2,CASQ2,Ca handling,1.8155,0.4404
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,ATP2B4,PMCA4,Ca handling,3.1991,0.7108
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,CALM1,CaM1,Ca handling,0.6882,0.2835
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,KCNH2,Kv11.1 (IKr),K channel,0.2073,0.1183
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,KCNQ1,Kv7.1 (IKs),K channel,2.3601,0.6253
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,KCNA5,Kv1.5 (IKur),K channel,0.0456,0.0304
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,KCND3,Kv4.3 (Ito),K channel,0.3657,0.1471
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,KCNJ2,Kir2.1 (IK1),K channel,0.0542,0.0378
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,KCNJ3,Kir3.1 (IKACh),K channel,3.6316,0.5004
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,KCNJ5,Kir3.4 (IKACh),K channel,0.2217,0.1274
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,SCN5A,Nav1.5,Na channel,0.6505,0.2013
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,ATP1A1,Na/K-ATPase a1,Transporter,1.9357,0.4322
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,HCN4,HCN4 (If),HCN,0.485,0.2202
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,HCN1,HCN1 (If),HCN,2.084,0.3237
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,GJA5,Cx40 (GJA5),Identity,0.4488,0.1832
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,GJC1,Cx45 (GJC1),Identity,2.3303,0.567
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,TBX3,TBX3,Identity,0.9866,0.2975
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,SHOX2,SHOX2,Identity,0.1503,0.0698
fetal_AVN_pace,Fetal AVN pacemaker,lim2024_fetal_avn,1217,ISL1,ISL1,Identity,0.0062,0.0033
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,CACNA1C,Cav1.2 (L),Ca channel,70.9296,0.9733
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,CACNA1D,Cav1.3 (L),Ca channel,0.3388,0.0909
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,CACNA1G,Cav3.1 (T),Ca channel,0.1392,0.0684
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,CACNA1H,Cav3.2 (T),Ca channel,0.0007,0.0007
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,CACNA1I,Cav3.3 (T),Ca channel,0.0026,0.0019
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,SLC8A1,NCX1,Ca handling,208.4981,0.9885
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,ATP2A2,SERCA2a,Ca handling,5.6051,0.8447
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,RYR2,RyR2,Ca handling,72.091,0.9818
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,PLN,PLN,Ca handling,5.9969,0.8393
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,CASQ2,CASQ2,Ca handling,4.005,0.7914
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,ATP2B4,PMCA4,Ca handling,2.848,0.6874
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,CALM1,CaM1,Ca handling,0.8328,0.3366
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,KCNH2,Kv11.1 (IKr),K channel,0.3747,0.2281
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,KCNQ1,Kv7.1 (IKs),K channel,2.0754,0.6665
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,KCNA5,Kv1.5 (IKur),K channel,0.0512,0.0279
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,KCND3,Kv4.3 (Ito),K channel,0.4183,0.1756
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,KCNJ2,Kir2.1 (IK1),K channel,0.4792,0.2504
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,KCNJ3,Kir3.1 (IKACh),K channel,0.8381,0.1391
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,KCNJ5,Kir3.4 (IKACh),K channel,0.275,0.186
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,SCN5A,Nav1.5,Na channel,1.5665,0.5208
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,ATP1A1,Na/K-ATPase a1,Transporter,1.3289,0.5304
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,HCN4,HCN4 (If),HCN,0.3072,0.1857
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,HCN1,HCN1 (If),HCN,0.6225,0.1396
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,GJA5,Cx40 (GJA5),Identity,0.6019,0.2084
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,GJC1,Cx45 (GJC1),Identity,1.5988,0.574
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,TBX3,TBX3,Identity,0.2345,0.108
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,SHOX2,SHOX2,Identity,0.0309,0.0122
fetal_AVN_work,Fetal AVN working,lim2024_fetal_avn,5730,ISL1,ISL1,Identity,0.0024,0.0019
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,CACNA1C,Cav1.2 (L),Ca channel,40.7932,0.9347
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,CACNA1D,Cav1.3 (L),Ca channel,19.0103,0.8082
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,CACNA1G,Cav3.1 (T),Ca channel,0.4656,0.1878
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,CACNA1H,Cav3.2 (T),Ca channel,0.0124,0.0163
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,CACNA1I,Cav3.3 (T),Ca channel,0.002,0.0041
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,SLC8A1,NCX1,Ca handling,59.4554,0.9551
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,ATP2A2,SERCA2a,Ca handling,13.746,0.9347
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,RYR2,RyR2,Ca handling,124.9851,0.9592
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,PLN,PLN,Ca handling,6.7702,0.8653
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,CASQ2,CASQ2,Ca handling,4.4643,0.7918
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,ATP2B4,PMCA4,Ca handling,4.2162,0.8082
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,CALM1,CaM1,Ca handling,0.7182,0.3755
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,KCNH2,Kv11.1 (IKr),K channel,0.5569,0.3306
adult_SAN_pace,Adult SAN pacemaker,kanemaru_conduction,490,KCNQ1,Kv7.1 (IKs),K channel,1.9963,0.6449
