# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: PER-CELL surface-accessible Ca fraction (within-sample cell dispersion for Fig 2A overlay; NOT donor-level error)
group,surface_frac
fetal_SAN_pace,0.7852
fetal_SAN_pace,0.744
fetal_SAN_pace,0.699
fetal_SAN_pace,0.7386
fetal_SAN_pace,0.6984
fetal_SAN_pace,0.678
fetal_SAN_pace,0.5893
fetal_SAN_pace,0.6546
fetal_SAN_pace,0.7007
fetal_SAN_pace,0.7045
fetal_SAN_pace,0.6592
fetal_SAN_pace,0.6442
fetal_SAN_pace,0.872
fetal_SAN_pace,0.771
fetal_SAN_pace,0.7509
fetal_SAN_pace,0.8537
fetal_SAN_pace,0.6423
fetal_SAN_pace,0.6571
fetal_SAN_pace,0.7794
fetal_SAN_pace,0.7529
fetal_SAN_pace,0.7048
fetal_SAN_pace,0.8182
fetal_SAN_pace,0.4911
fetal_SAN_pace,0.6404
fetal_SAN_pace,0.6853
fetal_SAN_pace,0.732
fetal_SAN_pace,0.6389
fetal_SAN_pace,0.6937
fetal_SAN_pace,0.6992
fetal_SAN_pace,0.6389
fetal_SAN_pace,0.5709
fetal_SAN_pace,0.6784
fetal_SAN_pace,0.7853
fetal_SAN_pace,0.8016
fetal_SAN_pace,0.805
fetal_SAN_pace,0.6543
fetal_SAN_pace,0.6823
fetal_SAN_pace,0.7527
fetal_SAN_pace,0.7634
fetal_SAN_pace,0.6368
fetal_SAN_pace,0.5938
fetal_SAN_pace,0.7565
fetal_SAN_pace,0.7983
fetal_SAN_pace,0.8086
fetal_SAN_pace,0.6397
fetal_SAN_pace,0.7125
fetal_SAN_pace,0.5766
fetal_SAN_pace,0.6766
fetal_SAN_pace,0.6201
fetal_SAN_pace,0.6429
fetal_SAN_pace,0.6995
fetal_SAN_pace,0.6067
fetal_SAN_pace,0.6301
fetal_SAN_pace,0.6939
fetal_SAN_pace,0.6731
fetal_SAN_pace,0.4915
fetal_SAN_pace,0.7137
fetal_SAN_pace,0.5497
fetal_SAN_pace,0.8
fetal_SAN_pace,0.6873
fetal_SAN_pace,0.7783
fetal_SAN_pace,0.6309
fetal_SAN_pace,0.623
fetal_SAN_pace,0.7386
fetal_SAN_pace,0.8046
fetal_SAN_pace,0.6653
fetal_SAN_pace,0.8166
fetal_SAN_pace,0.6398
fetal_SAN_pace,0.7771
fetal_SAN_pace,0.744
fetal_SAN_pace,0.7534
fetal_SAN_pace,0.7745
fetal_SAN_pace,0.6955
fetal_SAN_pace,0.7419
fetal_SAN_pace,0.5593
fetal_SAN_pace,0.6041
fetal_SAN_pace,0.7512
fetal_SAN_pace,0.6207
fetal_SAN_pace,0.7018
fetal_SAN_pace,0.806
fetal_SAN_pace,0.5747
fetal_SAN_pace,0.6364
fetal_SAN_pace,0.6481
fetal_SAN_pace,0.7014
fetal_SAN_pace,0.5139
fetal_SAN_pace,0.6583
fetal_SAN_pace,0.6243
fetal_SAN_pace,0.7252
fetal_SAN_pace,0.7509
fetal_SAN_pace,0.7412
fetal_SAN_pace,0.5347
fetal_SAN_pace,0.6416
fetal_SAN_pace,0.7413
fetal_SAN_pace,0.6267
fetal_SAN_pace,0.6442
fetal_SAN_pace,0.5094
fetal_SAN_pace,0.7197
fetal_SAN_pace,0.75
fetal_SAN_pace,0.7424
fetal_SAN_pace,0.7365
fetal_SAN_pace,0.7647
fetal_SAN_pace,0.6613
fetal_SAN_pace,0.76
fetal_SAN_pace,0.6887
fetal_SAN_pace,0.695
fetal_SAN_pace,0.7841
fetal_SAN_pace,0.5655
fetal_SAN_pace,0.6114
fetal_SAN_pace,0.6354
fetal_SAN_pace,0.7778
fetal_SAN_pace,0.6368
fetal_SAN_pace,0.6647
fetal_SAN_pace,0.7194
fetal_SAN_pace,0.7131
fetal_SAN_pace,0.729
fetal_SAN_pace,0.7628
fetal_SAN_pace,0.5561
fetal_SAN_pace,0.8045
fetal_SAN_pace,0.5893
fetal_SAN_pace,0.7164
fetal_SAN_pace,0.7246
fetal_SAN_pace,0.5536
fetal_SAN_pace,0.5882
fetal_SAN_pace,0.703
fetal_SAN_pace,0.6502
fetal_SAN_pace,0.7014
fetal_SAN_pace,0.5882
fetal_SAN_pace,0.4602
fetal_SAN_pace,0.676
fetal_SAN_pace,0.7183
fetal_SAN_pace,0.6742
fetal_SAN_pace,0.7077
fetal_SAN_pace,0.6316
fetal_SAN_pace,0.7375
fetal_SAN_pace,0.785
fetal_SAN_pace,0.7237
fetal_SAN_pace,0.619
fetal_SAN_pace,0.6667
fetal_SAN_pace,0.7
fetal_SAN_pace,0.748
fetal_SAN_pace,0.7557
fetal_SAN_pace,0.7468
fetal_SAN_pace,0.5246
fetal_SAN_pace,0.5714
fetal_SAN_pace,0.742
fetal_SAN_pace,0.8037
fetal_SAN_pace,0.7186
fetal_SAN_pace,0.7401
fetal_SAN_pace,0.8467
fetal_SAN_pace,0.8246
fetal_SAN_pace,0.7645
fetal_SAN_pace,0.8373
fetal_SAN_pace,0.582
fetal_SAN_pace,0.6982
fetal_SAN_pace,0.8299
fetal_SAN_pace,0.7978
fetal_SAN_pace,0.5828
fetal_SAN_pace,0.662
fetal_SAN_pace,0.7077
fetal_SAN_pace,0.7485
fetal_SAN_pace,0.6505
fetal_SAN_pace,0.6417
fetal_SAN_pace,0.7471
fetal_SAN_pace,0.6463
fetal_SAN_pace,0.5818
fetal_SAN_pace,0.6618
fetal_SAN_pace,0.7987
fetal_SAN_pace,0.6851
fetal_SAN_pace,0.7992
fetal_SAN_pace,0.7025
fetal_SAN_pace,0.7061
fetal_SAN_pace,0.6194
fetal_SAN_pace,0.6873
fetal_SAN_pace,0.7011
fetal_SAN_pace,0.6781
fetal_SAN_pace,0.6935
fetal_SAN_pace,0.84
fetal_SAN_pace,0.722
fetal_SAN_pace,0.6094
fetal_SAN_pace,0.561
fetal_SAN_pace,0.5649
fetal_SAN_pace,0.6477
fetal_SAN_pace,0.7388
fetal_SAN_pace,0.6327
fetal_SAN_pace,0.7598
fetal_SAN_pace,0.6942
fetal_SAN_pace,0.7339
fetal_SAN_pace,0.6442
fetal_SAN_pace,0.6698
fetal_SAN_pace,0.8343
fetal_SAN_pace,0.7761
fetal_SAN_pace,0.7823
fetal_SAN_pace,0.7818
fetal_SAN_pace,0.6442
fetal_SAN_pace,0.6108
fetal_SAN_pace,0.6911
fetal_SAN_pace,0.6762
fetal_SAN_pace,0.7874
fetal_SAN_pace,0.7485
fetal_SAN_pace,0.7069
fetal_SAN_pace,0.6434
fetal_SAN_pace,0.7414
fetal_SAN_pace,0.7286
fetal_SAN_pace,0.6667
fetal_SAN_pace,0.6385
fetal_SAN_pace,0.7264
fetal_SAN_pace,0.6926
fetal_SAN_pace,0.4916
fetal_SAN_pace,0.5978
fetal_SAN_pace,0.8037
fetal_SAN_pace,0.5455
fetal_SAN_pace,0.7432
fetal_SAN_pace,0.7692
fetal_SAN_pace,0.6176
fetal_SAN_pace,0.6536
fetal_SAN_pace,0.6024
fetal_SAN_pace,0.7
fetal_SAN_pace,0.6491
fetal_SAN_pace,0.6168
fetal_SAN_pace,0.7333
fetal_SAN_pace,0.6044
fetal_SAN_pace,0.8147
fetal_SAN_pace,0.6309
fetal_SAN_pace,0.614
fetal_SAN_pace,0.6667
fetal_SAN_pace,0.6554
fetal_SAN_pace,0.7391
fetal_SAN_pace,0.6325
fetal_SAN_pace,0.6881
fetal_SAN_pace,0.5649
fetal_SAN_pace,0.5833
fetal_SAN_pace,0.6606
fetal_SAN_pace,0.6985
fetal_SAN_pace,0.7692
fetal_SAN_pace,0.7004
fetal_SAN_pace,0.7087
fetal_SAN_pace,0.6648
fetal_SAN_pace,0.6895
fetal_SAN_pace,0.6371
fetal_SAN_pace,0.7187
fetal_SAN_pace,0.8054
fetal_SAN_pace,0.6214
fetal_SAN_pace,0.7835
fetal_SAN_pace,0.6707
fetal_SAN_pace,0.7358
fetal_SAN_pace,0.8
fetal_SAN_pace,0.7198
fetal_SAN_pace,0.7407
fetal_SAN_pace,0.7
fetal_SAN_pace,0.7673
fetal_SAN_pace,0.5155
fetal_SAN_pace,0.6931
fetal_SAN_pace,0.6071
fetal_SAN_pace,0.5508
fetal_SAN_pace,0.6803
fetal_SAN_pace,0.5655
fetal_SAN_pace,0.5531
fetal_SAN_pace,0.6581
fetal_SAN_pace,0.6967
fetal_SAN_pace,0.5405
fetal_SAN_pace,0.6684
fetal_SAN_pace,0.689
fetal_SAN_pace,0.7709
fetal_SAN_pace,0.6479
fetal_SAN_pace,0.6942
fetal_SAN_pace,0.6584
fetal_SAN_pace,0.8037
fetal_SAN_pace,0.4773
fetal_SAN_pace,0.6667
fetal_SAN_pace,0.6931
fetal_SAN_pace,0.6118
fetal_SAN_pace,0.6276
fetal_SAN_pace,0.6577
fetal_SAN_pace,0.8249
fetal_SAN_pace,0.5634
fetal_SAN_pace,0.6704
fetal_SAN_pace,0.587
fetal_SAN_pace,0.6964
fetal_SAN_pace,0.6417
fetal_SAN_pace,0.672
fetal_SAN_pace,0.6279
fetal_SAN_pace,0.7431
fetal_SAN_pace,0.5865
fetal_SAN_pace,0.604
fetal_SAN_pace,0.5644
fetal_SAN_pace,0.798
fetal_SAN_pace,0.6292
fetal_SAN_pace,0.677
fetal_SAN_pace,0.6682
fetal_SAN_pace,0.6209
