# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: Ca-machinery expression by subcellular accessibility (surface=antibody-accessible vs intracellular SR/ER) per conduction group; linear scale
group,gene,access,compartment,expr,subtype
adult_SAN_work,ORAI2,SURFACE,plasma_membrane,0.0203,
adult_SAN_work,ORAI3,SURFACE,plasma_membrane,0.022,
adult_SAN_work,STIM1,MIXED,PM+ER,0.1091,
adult_SAN_work,STIM2,INTRACELLULAR,ER,0.8459,
adult_SAN_work,TRPM4,MIXED,PM+ER,0.4931,
adult_SAN_work,TRPM7,SURFACE,plasma_membrane,4.4735,
adult_SAN_work,TRPC1,SURFACE,plasma_membrane,2.3883,
adult_SAN_work,TRPC3,SURFACE,plasma_membrane,0.0176,
adult_SAN_work,TRPC6,SURFACE,plasma_membrane,0.0341,
adult_SAN_work,RYR2,INTRACELLULAR,SR,169.2515,
adult_SAN_work,RYR3,INTRACELLULAR,SR,0.047,
adult_SAN_work,ITPR1,INTRACELLULAR,ER,1.1284,
adult_SAN_work,ITPR2,INTRACELLULAR,ER,3.1184,
adult_SAN_work,ITPR3,INTRACELLULAR,ER,0.013,
adult_SAN_work,ATP2A2,INTRACELLULAR,SR,18.5676,
adult_SAN_work,ATP2A1,INTRACELLULAR,SR,0.0256,
adult_SAN_work,TMEM38A,INTRACELLULAR,SR,0.1819,
adult_SAN_work,TMEM38B,INTRACELLULAR,ER,1.3556,
adult_AVN_pace,CACNA1C,SURFACE,sarcolemma,52.42,L-type
adult_AVN_pace,CACNA1D,SURFACE,sarcolemma,6.4564,L-type
adult_AVN_pace,CACNA1G,SURFACE,sarcolemma,0.2834,T-type
adult_AVN_pace,CACNA1H,SURFACE,sarcolemma,0.0,T-type
adult_AVN_pace,CACNA1I,SURFACE,sarcolemma,0.0,T-type
adult_AVN_pace,CACNA1A,SURFACE,sarcolemma,0.0383,PQ-type
adult_AVN_pace,CACNA1B,SURFACE,sarcolemma,0.0514,N-type
adult_AVN_pace,CACNA1E,SURFACE,sarcolemma,0.1673,R-type
adult_AVN_pace,CACNA1S,SURFACE,sarcolemma,0.0,L-type
adult_AVN_pace,SLC8A1,SURFACE,sarcolemma,47.9668,
adult_AVN_pace,ORAI1,SURFACE,plasma_membrane,0.0066,
adult_AVN_pace,ORAI2,SURFACE,plasma_membrane,0.0162,
adult_AVN_pace,ORAI3,SURFACE,plasma_membrane,0.0018,
adult_AVN_pace,STIM1,MIXED,PM+ER,0.1808,
adult_AVN_pace,STIM2,INTRACELLULAR,ER,0.7101,
adult_AVN_pace,TRPM4,MIXED,PM+ER,0.4008,
adult_AVN_pace,TRPM7,SURFACE,plasma_membrane,5.6863,
adult_AVN_pace,TRPC1,SURFACE,plasma_membrane,1.4499,
adult_AVN_pace,TRPC3,SURFACE,plasma_membrane,0.0114,
adult_AVN_pace,TRPC6,SURFACE,plasma_membrane,0.0232,
adult_AVN_pace,RYR2,INTRACELLULAR,SR,106.6264,
adult_AVN_pace,RYR3,INTRACELLULAR,SR,0.055,
adult_AVN_pace,ITPR1,INTRACELLULAR,ER,0.9566,
adult_AVN_pace,ITPR2,INTRACELLULAR,ER,2.4402,
adult_AVN_pace,ITPR3,INTRACELLULAR,ER,0.015,
adult_AVN_pace,ATP2A2,INTRACELLULAR,SR,12.9024,
adult_AVN_pace,ATP2A1,INTRACELLULAR,SR,0.0169,
adult_AVN_pace,TMEM38A,INTRACELLULAR,SR,0.2001,
adult_AVN_pace,TMEM38B,INTRACELLULAR,ER,1.5682,
adult_AVN_work,CACNA1C,SURFACE,sarcolemma,72.4175,L-type
adult_AVN_work,CACNA1D,SURFACE,sarcolemma,0.2361,L-type
adult_AVN_work,CACNA1G,SURFACE,sarcolemma,0.0165,T-type
adult_AVN_work,CACNA1H,SURFACE,sarcolemma,0.0052,T-type
adult_AVN_work,CACNA1I,SURFACE,sarcolemma,0.0021,T-type
adult_AVN_work,CACNA1A,SURFACE,sarcolemma,0.021,PQ-type
adult_AVN_work,CACNA1B,SURFACE,sarcolemma,0.03,N-type
adult_AVN_work,CACNA1E,SURFACE,sarcolemma,0.11,R-type
adult_AVN_work,CACNA1S,SURFACE,sarcolemma,0.0023,L-type
adult_AVN_work,SLC8A1,SURFACE,sarcolemma,79.3501,
adult_AVN_work,ORAI1,SURFACE,plasma_membrane,0.0132,
adult_AVN_work,ORAI2,SURFACE,plasma_membrane,0.0178,
adult_AVN_work,ORAI3,SURFACE,plasma_membrane,0.0173,
adult_AVN_work,STIM1,MIXED,PM+ER,0.4622,
adult_AVN_work,STIM2,INTRACELLULAR,ER,0.2539,
adult_AVN_work,TRPM4,MIXED,PM+ER,0.4079,
adult_AVN_work,TRPM7,SURFACE,plasma_membrane,6.1378,
adult_AVN_work,TRPC1,SURFACE,plasma_membrane,2.329,
adult_AVN_work,TRPC3,SURFACE,plasma_membrane,0.0034,
adult_AVN_work,TRPC6,SURFACE,plasma_membrane,0.0301,
adult_AVN_work,RYR2,INTRACELLULAR,SR,168.8596,
adult_AVN_work,RYR3,INTRACELLULAR,SR,0.0448,
adult_AVN_work,ITPR1,INTRACELLULAR,ER,0.5436,
adult_AVN_work,ITPR2,INTRACELLULAR,ER,2.3897,
adult_AVN_work,ITPR3,INTRACELLULAR,ER,0.0097,
adult_AVN_work,ATP2A2,INTRACELLULAR,SR,12.6842,
adult_AVN_work,ATP2A1,INTRACELLULAR,SR,0.0223,
adult_AVN_work,TMEM38A,INTRACELLULAR,SR,0.3831,
adult_AVN_work,TMEM38B,INTRACELLULAR,ER,1.3337,
adult_vCM_bulk,CACNA1C,SURFACE,sarcolemma,61.91,L-type
adult_vCM_bulk,CACNA1D,SURFACE,sarcolemma,0.0779,L-type
adult_vCM_bulk,CACNA1G,SURFACE,sarcolemma,0.01,T-type
adult_vCM_bulk,CACNA1H,SURFACE,sarcolemma,0.0121,T-type
adult_vCM_bulk,CACNA1I,SURFACE,sarcolemma,0.0023,T-type
adult_vCM_bulk,CACNA1A,SURFACE,sarcolemma,0.0328,PQ-type
adult_vCM_bulk,CACNA1B,SURFACE,sarcolemma,0.0569,N-type
adult_vCM_bulk,CACNA1E,SURFACE,sarcolemma,0.3791,R-type
adult_vCM_bulk,CACNA1S,SURFACE,sarcolemma,0.0013,L-type
adult_vCM_bulk,SLC8A1,SURFACE,sarcolemma,69.6426,
adult_vCM_bulk,ORAI1,SURFACE,plasma_membrane,0.0122,
adult_vCM_bulk,ORAI2,SURFACE,plasma_membrane,0.0125,
adult_vCM_bulk,ORAI3,SURFACE,plasma_membrane,0.0246,
adult_vCM_bulk,STIM1,MIXED,PM+ER,0.4008,
adult_vCM_bulk,STIM2,INTRACELLULAR,ER,0.1793,
adult_vCM_bulk,TRPM4,MIXED,PM+ER,0.4756,
adult_vCM_bulk,TRPM7,SURFACE,plasma_membrane,4.8181,
adult_vCM_bulk,TRPC1,SURFACE,plasma_membrane,1.3713,
adult_vCM_bulk,TRPC3,SURFACE,plasma_membrane,0.0019,
adult_vCM_bulk,TRPC6,SURFACE,plasma_membrane,0.0207,
adult_vCM_bulk,RYR2,INTRACELLULAR,SR,300.5571,
adult_vCM_bulk,RYR3,INTRACELLULAR,SR,0.0393,
adult_vCM_bulk,ITPR1,INTRACELLULAR,ER,0.5251,
adult_vCM_bulk,ITPR2,INTRACELLULAR,ER,1.6178,
adult_vCM_bulk,ITPR3,INTRACELLULAR,ER,0.006,
adult_vCM_bulk,ATP2A2,INTRACELLULAR,SR,10.0524,
adult_vCM_bulk,ATP2A1,INTRACELLULAR,SR,0.0307,
adult_vCM_bulk,TMEM38A,INTRACELLULAR,SR,0.3593,
adult_vCM_bulk,TMEM38B,INTRACELLULAR,ER,1.6175,
